SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,Tanimoto_Similarity
O=C(NC=1C=CC=C2C(=O)NCC12)C=3C=CC=4C=CC=CC4N3,Z2098971617,303.316,303.316,2.429,-4.43,2,3,71.09,2,https://real.enamine.net/public-enum-files/Z2098971617,0.4098360655737705
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C=3C=C(O)C=CN3,Z5345841953,294.309,294.309,1.809,-3.342,3,4,90.9,3,https://real.enamine.net/public-enum-files/Z5345841953,0.3968253968253968
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C=3C=C(C=CN3)C(N)=O,Z5345841539,321.334,321.334,0.577,-3.911,3,4,113.76,4,https://real.enamine.net/public-enum-files/Z5345841539,0.3787878787878788
O=C(NC=1C=CC=CC1C2=NC=3C=CC=CC3S2)C4=NC=CC=C4F,Z4767388026,349.383,349.383,3.087,-5.686,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z4767388026,0.375
O=C(NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2)C4=CC=CC=5C(=O)NCC45,Z4958006172,368.389,368.389,3.385,-6.096,3,3,86.88,3,https://real.enamine.net/public-enum-files/Z4958006172,0.36764705882352944
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C3=CNC(C)=N3,Z1516222413,281.313,281.313,1.088,-2.915,3,3,86.46,3,https://real.enamine.net/public-enum-files/Z1516222413,0.36065573770491804
O=C(NCC=1C=CC=CN1)C2=NC=3C=CC=CC3C(=O)N2,Z332371324,280.282,280.282,0.707,-3.149,2,4,83.45,3,https://real.enamine.net/public-enum-files/Z332371324,0.3548387096774194
CNC=1C=CC(=NC1)C(=O)NC=2C=CC=CC2C3=NC(C)=CN3,Z5345841655,307.351,307.351,1.996,-3.564,3,4,82.7,4,https://real.enamine.net/public-enum-files/Z5345841655,0.35384615384615387
CN1C=CC(=N1)C(=O)NC=2C=CC(=CC2)C3=NC=4C=CC=CC4N3,Z1066489050,317.345,317.345,2.731,-4.574,2,3,75.6,3,https://real.enamine.net/public-enum-files/Z1066489050,0.35384615384615387
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C=3C=NC(N)=CN3,Z5345841713,294.312,294.312,0.647,-2.958,3,5,109.58,3,https://real.enamine.net/public-enum-files/Z5345841713,0.35384615384615387
COC=1C=CC(C2=CSC(=N2)NC(=O)C=3C=CC(NC(=O)C4=CC=CS4)=C(C)C3)=C(C1)OC,Z6062382906,479.574,479.574,3.905,-7.336,2,5,89.55,7,https://real.enamine.net/public-enum-files/Z6062382906,0.35294117647058826
O=C(NC1=CNC=2C=CC=CC12)C=3C=CN=C4C=CC=CC34,Z5900242005,287.316,287.316,3.271,-4.925,2,2,57.78,2,https://real.enamine.net/public-enum-files/Z5900242005,0.35
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C3=CC=CC(=O)N3,Z2033398519,294.309,294.309,-0.256,-4.116,3,3,86.88,3,https://real.enamine.net/public-enum-files/Z2033398519,0.3492063492063492
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C=3C=CC(=CN3)C(N)=O,Z1453957817,321.334,321.334,0.577,-3.706,3,4,113.76,4,https://real.enamine.net/public-enum-files/Z1453957817,0.3484848484848485
NC=1N=CC=NC1C(=O)NC=2C=CC=CC2C=3C=CC=CC3,Z1207372120,290.32,290.32,2.569,-4.279,2,4,80.9,3,https://real.enamine.net/public-enum-files/Z1207372120,0.3448275862068966
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C=3NC(=O)NC3C,Z5345845786,297.313,297.313,-0.167,-4.212,4,3,98.91,3,https://real.enamine.net/public-enum-files/Z5345845786,0.34375
CC=1C=CC(=NC1)C(=O)NC2=CNN=C2C=3C=CC=CN3,Z1559977181,279.297,279.297,1.166,-2.502,2,4,83.56,3,https://real.enamine.net/public-enum-files/Z1559977181,0.34375
CC1=CC(=NN1C)C(=O)NC=2C=CC(=CC2)C3=NC4=CC=CC=C4N3,Z734659916,331.372,331.372,3.0,-4.844,2,3,75.6,3,https://real.enamine.net/public-enum-files/Z734659916,0.34328358208955223
O=C(CCC1=NC=2C=CC=CC2C(=O)N1)NC=3C=CC(F)=CC3F,Z30801172,329.302,329.302,1.455,-4.34,2,3,70.56,4,https://real.enamine.net/public-enum-files/Z30801172,0.3424657534246575
